,imdbId,Title,Genre
0,114709,Toy Story (1995),Animation|Adventure|Comedy
1,113497,Jumanji (1995),Action|Adventure|Family
2,113228,Grumpier Old Men (1995),Comedy|Romance
3,114885,Waiting to Exhale (1995),Comedy|Drama|Romance
4,113041,Father of the Bride Part II (1995),Comedy|Family|Romance
5,113277,Heat (1995),Action|Crime|Drama
6,114319,Sabrina (1995),Comedy|Drama
8,114576,Sudden Death (1995),Action|Crime|Thriller
9,113189,GoldenEye (1995),Action|Adventure|Thriller
10,112346,The American President (1995),Comedy|Drama|Romance
11,112896,Dracula: Dead and Loving It (1995),Comedy|Fantasy|Horror
12,112453,Balto (1995),Animation|Adventure|Drama
13,113987,Nixon (1995),Biography|Drama|History
14,112760,Cutthroat Island (1995),Action|Adventure|Comedy
15,112641,Casino (1995),Crime|Drama
16,114388,Sense and Sensibility (1995),Drama|Romance
17,113101,Four Rooms (1995),Comedy
18,112281,Ace Ventura: When Nature Calls (1995),Adventure|Comedy|Crime
19,113845,Money Train (1995),Action|Comedy|Crime
20,113161,Get Shorty (1995),Comedy|Crime|Thriller
21,112722,Copycat (1995),Crime|Drama|Mystery
22,112401,Assassins (1995),Action|Crime|Thriller
23,114168,Powder (1995),Drama|Fantasy|Mystery
24,113627,Leaving Las Vegas (1995),Drama|Romance
26,114011,Now and Then (1995),Comedy|Drama|Romance
27,114117,Persuasion,Drama
28,112682,The City of Lost Children (1995),Fantasy|Sci-Fi
30,112792,Dangerous Minds (1995),Biography|Drama
31,114746,Twelve Monkeys (1995),Mystery|Sci-Fi|Thriller
32,114952,Wings of Courage (1995),Adventure|Romance
33,112431,Babe (1995),Comedy|Drama|Family
34,112637,Carrington (1995),Biography|Drama|Romance
35,112818,Dead Man Walking (1995),Crime|Drama
36,112286,Across the Sea of Time (1995),Adventure|Drama|Family
37,113442,It Takes Two (1995),Comedy|Family|Romance
39,112749,"Cry, the Beloved Country (1995)",Drama|Thriller
40,114279,Richard III (1995),Drama|War
