Image_Paths,imdbId,Genre,Title
posters\1000095.jpg,1000095,Animation|Action|Adventure,PokÃÂ©mon Ranger and the Temple of the Sea (2006)
posters\100014.jpg,100014,Fantasy,Liu jai yim taam (1987)
posters\100024.jpg,100024,Comedy|Drama,Life Is Sweet (1990)
posters\100046.jpg,100046,Drama|History,The Long Walk Home (1990)
posters\100049.jpg,100049,Drama|Romance,Longtime Companion (1989)
posters\100050.jpg,100050,Comedy|Family|Romance,Look Who's Talking Too (1990)
posters\100054.jpg,100054,Adventure|Drama|Thriller,Lord of the Flies (1990)
posters\100065.jpg,100065,Comedy|Drama|Mystery,Love at Large (1990)
posters\100070.jpg,100070,Comedy|Family|Fantasy,Lua de Cristal (1990)
posters\1000764.jpg,1000764,Documentary,The Most Hated Family in America (2007)
posters\1000769.jpg,1000769,Drama,Prince of Broadway (2008)
posters\1000771.jpg,1000771,Drama|History,Recount (2008)
posters\1000774.jpg,1000774,Comedy|Drama|Romance,Sex and the City (2008)
posters\100079.jpg,100079,Horror,Luther the Geek (1990)
posters\100087.jpg,100087,Comedy,Madhouse (1990)
posters\100095.jpg,100095,Drama|Family|Musical,Maine Pyar Kiya (1989)
posters\100100.jpg,100100,Comedy|War,A Man Called Sarge (1990)
posters\100107.jpg,100107,Crime|Horror|Action,Maniac Cop 2 (1990)
posters\100114.jpg,100114,Action|Adventure|Crime,Marked for Death (1990)
posters\100129.jpg,100129,Comedy|Sci-Fi,Meet the Applegates (1990)
posters\100133.jpg,100133,Action|Drama|War,Memphis Belle (1990)
posters\100134.jpg,100134,Drama,Men Don't Leave (1990)
posters\100135.jpg,100135,Action|Comedy|Crime,Men at Work (1990)
posters\100140.jpg,100140,Comedy|Drama|Romance,Mermaids (1990)
posters\100142.jpg,100142,Comedy|Drama|Romance,Metropolitan (1990)
posters\100143.jpg,100143,Comedy|Crime|Drama,Miami Blues (1990)
posters\100148.jpg,100148,Action|Horror|Thriller,Midnight Ride (1990)
posters\100150.jpg,100150,Crime|Drama|Thriller,Miller's Crossing (1990)
posters\1001508.jpg,1001508,Comedy|Drama|Romance,He's Just Not That Into You (2009)
posters\100152.jpg,100152,Horror|Sci-Fi|Thriller,Mindwarp (1992)
posters\1001526.jpg,1001526,Animation|Action|Comedy,Megamind (2010)
posters\1001540.jpg,1001540,Drama,Perestroika (2009)
posters\1001548.jpg,1001548,Action|Thriller,Contract Killers (2008)
posters\100156.jpg,100156,Horror|Thriller,Mirror Mirror (1990)
posters\1001562.jpg,1001562,Comedy|Crime,Witless Protection (2008)
posters\100157.jpg,100157,Crime|Drama|Thriller,Misery (1990)
posters\100168.jpg,100168,Drama|Music|Romance,Mo' Better Blues (1990)
posters\100172.jpg,100172,Comedy|Horror,Mom (1991)
posters\100196.jpg,100196,Adventure|Drama|History,Mountains of the Moon (1990)
posters\100200.jpg,100200,Drama,Mr. & Mrs. Bridge (1990)
posters\100201.jpg,100201,Comedy|Fantasy|Romance,Mr. Destiny (1990)
posters\100212.jpg,100212,Comedy|Crime,My Blue Heaven (1990)
posters\100224.jpg,100224,Action|Crime|Thriller,Narrow Margin (1990)
posters\100232.jpg,100232,Action|Adventure|Thriller,Navy Seals (1990)
posters\100234.jpg,100234,Biography|Crime|Drama,Nema-ye Nazdik (1990)
posters\100240.jpg,100240,Adventure|Drama|Family,The Neverending Story II: The Next Chapter (1990)
posters\1002535.jpg,1002535,Documentary,Bomb It (2007)
posters\1002536.jpg,1002536,Drama,Come Dio comanda (2008)
posters\1002539.jpg,1002539,Drama,Liverpool (2008)
posters\1002540.jpg,1002540,Documentary,Malon 9 Kochavim (2007)
posters\1002543.jpg,1002543,Documentary,Santiago (2007)
posters\1002561.jpg,1002561,Mystery|Thriller,2:13 (2009)
posters\1002563.jpg,1002563,Drama,The Young Messiah (2016)
posters\1002573.jpg,1002573,Documentary|History|Music,One Nine Nine Four (2009)
posters\100258.jpg,100258,Horror,Night of the Living Dead (1990)
posters\100260.jpg,100260,Action|Fantasy|Horror,Nightbreed (1990)
posters\100263.jpg,100263,Action|Thriller,La Femme Nikita (1990)
posters\100264.jpg,100264,Family,Nils Karlsson Pyssling (1990)
posters\100271.jpg,100271,History,Nostos: The Return (1989)
posters\100273.jpg,100273,Action,Night of the Sharks (1988)
posters\100274.jpg,100274,Drama,Nouvelle vague (1990)
posters\100280.jpg,100280,Comedy|Crime,Nuns on the Run (1990)
posters\100281.jpg,100281,Animation|Adventure|Family,The Nutcracker Prince (1990)
posters\100288.jpg,100288,Drama,The Old Man and the Sea (1990)
posters\1002959.jpg,1002959,Comedy,Bienvenido a Farewell-Gutmann (2008)
posters\1002963.jpg,1002963,Crime|Drama|Thriller,Y.M.I. Yeh Mera India (2008)
posters\1002966.jpg,1002966,Comedy|Crime|Thriller,Ca$h (2008)
posters\1003005.jpg,1003005,Horror,Kollegiet (2007)
posters\1003023.jpg,1003023,Drama,MÃÃncora (2008)
posters\1003034.jpg,1003034,Action|Comedy|Crime,Perrier's Bounty (2009)
posters\1003052.jpg,1003052,Thriller,Secret dÃÂ©fense (2008)
posters\100308.jpg,100308,Drama,Ostatni prom (1989)
posters\1003080.jpg,1003080,Horror|Thriller,The Green Elephant (1999)
posters\1003113.jpg,1003113,Documentary|Biography|Romance,Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe (2007)
posters\1003116.jpg,1003116,Documentary|Music,Pete Seeger: The Power of Song (2007)
posters\1003118.jpg,1003118,Documentary|Sport,Steep (2007)
posters\1003141.jpg,1003141,Documentary|Short,Fabrika (2004)
posters\100318.jpg,100318,Thriller,Pacific Heights (1990)
posters\100324.jpg,100324,Horror,Pale Blood (1990)
posters\100332.jpg,100332,Documentary,Paris Is Burning (1990)
posters\100334.jpg,100334,Drama,Le party (1990)
posters\100339.jpg,100339,Animation|Action|Crime,Patlabor: The Movie (1989)
posters\100347.jpg,100347,Comedy,Perfectly Normal (1990)
posters\100361.jpg,100361,Drama|Music|Mystery,The Phantom of the Opera
posters\100369.jpg,100369,Horror|Romance,The Pit and the Pendulum (1991)
posters\100388.jpg,100388,Comedy|Romance,Porno (1990)
posters\100389.jpg,100389,Drama,Porte aperte (1990)
posters\100395.jpg,100395,Comedy|Drama,Postcards from the Edge (1990)
posters\100403.jpg,100403,Action|Horror|Sci-Fi,Predator 2 (1990)
posters\100404.jpg,100404,Mystery|Thriller,Presumed Innocent (1990)
posters\100405.jpg,100405,Comedy|Romance,Pretty Woman (1990)
posters\100419.jpg,100419,Comedy|Family,Problem Child (1990)
posters\100436.jpg,100436,Comedy|Drama|Music,Pump Up the Volume (1990)
posters\100438.jpg,100438,Fantasy|Horror|Sci-Fi,Puppet Master II (1990)
posters\100440.jpg,100440,Drama|History|Romance,The King's Whore (1990)
posters\100442.jpg,100442,Crime|Drama|Thriller,Q & A (1990)
posters\100448.jpg,100448,Fantasy|Adventure,Quest for the Mighty Sword (1990)
posters\100449.jpg,100449,Comedy|Crime,Quick Change (1990)
posters\100456.jpg,100456,Fantasy|Drama,The Rainbow Thief (1990)
posters\100469.jpg,100469,Drama|Horror|Thriller,The Reflecting Skin (1990)
posters\100470.jpg,100470,Drama,Journey of Hope (1990)
posters\100475.jpg,100475,Comedy|Fantasy|Horror,Repossessed (1990)
posters\100477.jpg,100477,Animation|Adventure|Crime,The Rescuers Down Under (1990)
posters\100485.jpg,100485,Action|Crime|Drama,Revenge (1990)
posters\100486.jpg,100486,Biography|Drama|Mystery,Reversal of Fortune (1990)
posters\100491.jpg,100491,Comedy|Drama,Riff-Raff (1991)
posters\100496.jpg,100496,Action|Comedy|Crime,My New Partner II (1990)
posters\100502.jpg,100502,Action|Crime|Sci-Fi,RoboCop 2 (1990)
posters\100507.jpg,100507,Drama|Sport,Rocky V (1990)
posters\100514.jpg,100514,Action|Comedy|Crime,The Rookie (1990)
posters\100519.jpg,100519,Comedy|Drama,Rosencrantz & Guildenstern Are Dead (1990)
posters\100530.jpg,100530,Drama|Romance|Thriller,The Russia House (1990)
posters\100531.jpg,100531,Action,Russian Terminator (1989)
